Entity,Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Switzerland,CHE,2.38091,2.37024,2.34961,2.27227,2.27447,2.30381,2.3002,2.27615,2.30333,2.35504,2.37101,2.38753,1.54353,1.62282,1.93911,2.14255
Tajikistan,TJK,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,4.65583,3.77435,4.3023,2.3837,3.37083,3.37083,5.467563571
Thailand,THA,4.712055818,4.185711803,3.56339,4.19875,4.72683,5.33611,5.16223,6.19736,6.89754,7.41838,7.40249,7.37181,2.24962,0.8405,2.77826,5.467563571
Tunisia,TUN,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,4.13982,4.49446,1.69938,1.94018,3.10558,4.88767
Turkey,TUR,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,4.6,2.7,3.4,4.4,5.467563571
Uganda,UGA,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,3.7,5.542608316,5.345202396,3.64006,3.228999885,3.116688451,2.52887,5.467563571
United Arab Emirates,ARE,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,5.583480988,5.451857326,5.426665914,5.617688878,5.542608316,5.345202396,6.1,3.9,6.2,4.851623621,5.467563571
United Kingdom,GBR,3.41659,3.46846,3.38348,3.61444,3.72259,3.6836,3.60953,3.93745,3.44672,3.42372,3.23815,3.64935,1.766,3.116688451,4.851623621,5.467563571
United States,USA,2.71192,2.59589,2.62993,2.71303,2.72392,2.81766,2.78754,2.88548,2.88621,2.9547,2.9604,3.01889,2.1474,2.76457,2.96775,5.467563571
United States Virgin Islands,VIR,22.7,21.1,20.6,22.2,26.7,29.2,30.8,31.5,30.9,25.3,20.9,25.1,3.228999885,3.116688451,4.851623621,5.467563571
Uruguay,URY,6.18243,6.156,6.69586,7.97484,7.29637,6.89926,7.3294,7.15919,7.95896,9.36614,8.82237,7.59515,3.228999885,3.116688451,5.68173,8.89594
Vietnam,VNM,4.712055818,4.185711803,5.294206892,5.381938767,5.498256203,6.06,6.14,6.33,6.96,7.9,8.39,9.2,3.58,1.97,4.851623621,5.467563571
